"Isotope Ratio Software Data Dump."
"Copyright (C) Micromass UK Ltd
"Bead Number:              1"
"Sample Indentifier:     SRM 987 210 ng"
"Date:                    6 January 1980"
"Time:                   22:33:03"
 
"Rejection % of Data  :  10.00"
"Sigma Rejection Level:   2.00"
"ADS Analysis Name    : SRBLB"
"DataDump Filename    : DY01-0CA.DAT"
"Level: Cycle Data"
"Data Starts Here"
"F0" "FG" "FH" "FI" "FK" "FL" "FM" "FN" "FO" "FP" "FQ" "FR" "FS" 
1.206004460E-001  7.102442714E-001  7.101707058E-001  7.103178371E-001  5.636334972E-002  7.099150022E-001  7.107031909E-001  7.102138180E-001  5.631841467E-002  5.642108599E-002  6.731306927E-003  1.172011638E+002  3.319952728E+000
1.205720330E-001  7.102072079E-001  7.100684150E-001  7.103460008E-001  5.646331960E-002  7.097723021E-001  7.106579837E-001  7.102135913E-001  5.643458559E-002  5.652354210E-002  6.745476426E-003  1.856582798E+002  3.358299495E+000
1.205747727E-001  7.101966370E-001  7.101614215E-001  7.102318525E-001  5.647205500E-002  7.099024755E-001  7.106622520E-001  7.099680216E-001  5.644540972E-002  5.652398286E-002  6.745779182E-003  1.465606397E+002  3.397444488E+000
1.205784041E-001  7.103220575E-001  7.102592406E-001  7.103848743E-001  5.647070642E-002  7.099956063E-001  7.107638138E-001  7.102182085E-001  5.643674293E-002  5.652251363E-002  6.744729166E-003  6.584279012E+001  3.425604822E+000
1.205757498E-001  7.102539277E-001  7.102142831E-001  7.102935723E-001  5.651546290E-002  7.100166046E-001  7.106549556E-001  7.100721979E-001  5.649304625E-002  5.656762764E-002  6.751495722E-003  1.305527370E+002  3.453110219E+000
1.206017618E-001  7.103047122E-001  7.102985866E-001  7.103108378E-001  5.654368109E-002  7.099908772E-001  7.108275998E-001  7.099928447E-001  5.651185673E-002  5.659262345E-002  6.753356122E-003  1.354605875E+002  3.484301092E+000
1.206156276E-001  7.101688780E-001  7.102305064E-001  7.101072496E-001  5.652601436E-002  7.100820624E-001  7.105563836E-001  7.098240110E-001  5.649944993E-002  5.656802389E-002  6.751047903E-003  7.003163841E+001  3.521493913E+000
1.206185141E-001  7.103176409E-001  7.103519375E-001  7.102833444E-001  5.650367469E-002  7.102407138E-001  7.106782905E-001  7.101172753E-001  5.646702880E-002  5.655179271E-002  6.747904804E-003  4.255249881E+001  3.530474903E+000
1.206896196E-001  7.102048204E-001  7.102075862E-001  7.102020545E-001  5.653378582E-002  7.098948072E-001  7.106656643E-001  7.099991866E-001  5.649201815E-002  5.657138728E-002  6.749633264E-003  5.739079558E+001  3.521144630E+000
1.206934248E-001  7.103321405E-001  7.103138899E-001  7.103503911E-001  5.652903765E-002  7.099219370E-001  7.108727268E-001  7.100921205E-001  5.648675925E-002  5.657014870E-002  6.749424044E-003 -7.835330200E+000  3.566814662E+000

"Grand" "Function" "Mean Bf" "%SdErrB" "Mean Af" "%SdErrA" "No After" "No Before"
"" "86/88 Scan 2"    0.1206384   0.0083    0.1206344   0.0079  29  30
"" "87/86 Avg exp corr"    0.7102553   0.0021    0.7102617   0.0020  29  30
