"Isotope Ratio Software Data Dump."
"Copyright (C) Micromass UK Ltd
"Bead Number:              1"
"Sample Indentifier:     SRM 987 210 ng"
"Date:                    7 January 1980"
"Time:                   17:22:19"
 
"Rejection % of Data  :  10.00"
"Sigma Rejection Level:   2.00"
"ADS Analysis Name    : SRBLB"
"DataDump Filename    : DY01-0D1.DAT"
"Level: Cycle Data"
"Data Starts Here"
"Collector" " Low 2 " " Low 1 " " Axial " " High 1" " High 2" " High 3" " High 4" 
1 3.976822E-004 1.304150E-004 3.287792E-004 -4.444122E-004 -2.732277E-004 4.203320E-004 -3.633976E-003 

"Block" "Function" "Mean Bf" "%SdErrB" "Mean Af" "%SdErrA" "No After" "No Before"
4 "86/88 Scan 2"    0.1204514   0.0027    0.1204514   0.0027  10  10
4 "87/86 Avg exp corr"    0.7103110   0.0021    0.7103110   0.0021  10  10
4 "87/86 S 1-2 exp corr"    0.7103027   0.0040    0.7103027   0.0040  10  10
4 "87/86 S 2-3 exp corr"    0.7103192   0.0027    0.7103045   0.0019   9  10
4 "84/86 Dyn exp corr"    0.0564979   0.0414    0.0564979   0.0414  10  10
4 "Stat 87/86 S-1 exp"    0.7100487   0.0052    0.7100487   0.0052  10  10
4 "Stat 87/86 S-2 exp"    0.7107053   0.0036    0.7107053   0.0036  10  10
4 "Stat 87/86 S-3 exp"    0.7100881   0.0046    0.7100881   0.0046  10  10
4 "Stat 84/86 exp corr"    0.0564731   0.0408    0.0564731   0.0408  10  10
4 "Dyn 84/86 power law"    0.0565334   0.0380    0.0565334   0.0380  10  10
4 "Dyn 84/88 power law"    0.0067471   0.0377    0.0067471   0.0377  10  10
4 "87Rb ppm L2-S2"   11.4590451  73.5261    4.8507117 120.4668   9  10
4 "88Sr volts S-3"    2.9008887   0.0549    2.9020818   0.0406   9  10

"Individual Ratios for this Block:"
"F0" "FG" "FH" "FI" "FK" "FL" "FM" "FN" "FO" "FP" "FQ" "FR" "FS" 
1.204604542E-001  7.103270146E-001  7.103104813E-001  7.103435480E-001  5.646537531E-002  7.100179719E-001  7.107828997E-001  7.100618706E-001  5.644016295E-002  5.650602465E-002  6.743806820E-003 -1.151382518E+001  2.890150310E+000
1.204633421E-001  7.103863009E-001  7.104293979E-001  7.103432040E-001  5.662908849E-002  7.102305252E-001  7.107235726E-001  7.101226777E-001  5.660344608E-002  5.665619168E-002  6.761686118E-003  4.448678589E+001  2.893450738E+000
1.204550341E-001  7.102936028E-001  7.102551459E-001  7.103320597E-001  5.651963296E-002  7.100554648E-001  7.106036879E-001  7.102055684E-001  5.649638412E-002  5.655525763E-002  6.749920099E-003  6.288407977E+000  2.901273967E+000
1.204531489E-001  7.102306250E-001  7.102412828E-001  7.102199672E-001  5.637617786E-002  7.099929068E-001  7.106343182E-001  7.099450707E-001  5.635391038E-002  5.641100778E-002  6.732813948E-003 -1.702892270E+001  2.901561261E+000
1.204567573E-001  7.103031420E-001  7.103271298E-001  7.102791541E-001  5.650548905E-002  7.100883890E-001  7.107162201E-001  7.100815613E-001  5.646715000E-002  5.654135660E-002  6.746457389E-003 -1.107217394E+000  2.904359342E+000
1.204546472E-001  7.103444255E-001  7.103820072E-001  7.103068437E-001  5.654926121E-002  7.100828889E-001  7.108288801E-001  7.098991130E-001  5.653098158E-002  5.658470245E-002  6.754029516E-003  7.093404598E+001  2.904961587E+000
1.204548094E-001  7.103563930E-001  7.104270089E-001  7.102857772E-001  5.649828443E-002  7.102101499E-001  7.107213958E-001  7.100502952E-001  5.646625162E-002  5.652235765E-002  6.744943156E-003 -7.381342671E-001  2.904664994E+000
1.204334306E-001  7.103131906E-001  7.102869356E-001  7.103394455E-001  5.652869432E-002  7.100481806E-001  7.106525624E-001  7.101306131E-001  5.651199469E-002  5.656052640E-002  6.751331793E-003  1.218819401E+001  2.904102088E+000
1.204325534E-001  7.103108924E-001  7.101704882E-001  7.104512965E-001  5.639013900E-002  7.098606665E-001  7.107943085E-001  7.102115439E-001  5.637365054E-002  5.645206951E-002  6.738406215E-003  2.589334465E+000  2.902390004E+000
1.204498327E-001  7.102439721E-001  7.101970972E-001  7.102908470E-001  5.651718002E-002  7.098998584E-001  7.105950610E-001  7.101730122E-001  5.648732506E-002  5.654495081E-002  6.747900692E-003  8.491782258E+000  2.901972533E+000

"Grand" "Function" "Mean Bf" "%SdErrB" "Mean Af" "%SdErrA" "No After" "No Before"
"" "86/88 Scan 2"    0.1204506   0.0014    0.1204506   0.0014  40  40
"" "87/86 Avg exp corr"    0.7102935   0.0012    0.7102963   0.0011  39  40
"" "87/86 S 1-2 exp corr"    0.7102847   0.0018    0.7102847   0.0018  40  40
"" "87/86 S 2-3 exp corr"    0.7103023   0.0013    0.7103020   0.0011  38  40
